,title,category,author_name,dates,num comments,num views,PER,LOC,ORG,MISC,group_PER,group_ORG,group_MISC,group_title_a,final_group
0,DAY6's Dowoon talks post-military growth and new album 'Fourever',News,Alec06,3/18/2024,0,332,,,"DAY6, Dowoon",Fourever,,DAY6,,DAY6,DAY6
1,The Boyz drops new album 'PHANTASY' Pt.3 and plans global live,News,Alec06,3/18/2024,0,571,,,The Boyz,PHANTASY,,THE BOYZ,,,THE BOYZ
2,Candy Shop unveils mini album 'Hashtag#' tracklist with dynamic New York vibes,News,Alec06,3/18/2024,1,684,,New York,Candy Shop,Hashtag,,Candy Shop,HashTag,,Candy Shop
3,"BABYMONSTER ready for comeback, set for summer sonic stage",News,Alec06,3/18/2024,7,"2,415",,,BABYMONST,,,BABYMONSTER,,BABYMONSTER,BABYMONSTER
4,ZEROBASEONE captivates Japan: sold-out concerts & chart success,News,Alec06,3/18/2024,4,"1,256",,Japan,,,,,,ZEROBASEONE,ZEROBASEONE
5,BLACKPINK's Jennie says she splits the bill with friends instead of paying alone,News,Janie-Reign,3/18/2024,19,"18,043",Jennie,,,,,,,BLACKPINK,BLACKPINK
6,BTS's V (Kim Taehyung) is a stunner in the behind-the-scenes photos for the 'FRI(END)S' music video,News,YeontanNews,3/18/2024,16,"2,720",Kim Taehyung,,BTS,,,BTS,,BTS,BTS
7,SPOILER Fans speculate that Alan Walker and MAMAMOO's Wheein may be gearing up for a collab,Rumors,Luckymoomoo,3/18/2024,7,"1,544","Alan Walker, Wheein",,MAMAMOO,,,MAMAMOO,,,MAMAMOO
8,Creative Group Ing says Girl's Day's Hyeri has no plans to respond to the Instagram story incident,News,Janie-Reign,3/18/2024,41,"18,492",Hyeri,,Creative Group Ing,Girl ' s Day,,,Girl's Day,,Girl's Day
9,ILLIT can't fall asleep in this enchanting visual teaser for debut title song 'Magnetic',Teaser,Janie-Reign,3/18/2024,1,"1,246",,,"IL, ##IT",Magnetic,,,,ILLIT,ILLIT
10,"Yang Hyun Suk provides track-by-track breakdown of BABYMONSTER's mini album, announcing Charlie Puth's contribution",Misc,Janie-Reign,3/18/2024,38,"6,176","Yang Hyun Suk, Charlie Puth",,BABYMONSTER,,,BABYMONSTER,,,BABYMONSTER
11,Apink's Namjoo shows her 'BAD' side in 2nd MV teaser,Teaser,Jia-Lin,3/18/2024,3,"1,028","Apink, Namjoo",,,,Apink,,,,Apink
12,HIGHLIGHT move their 'BODY' in dance practice video,Misc,Jia-Lin,3/18/2024,0,968,,,HIGHLIGHT,,,Highlight,,,Highlight
13,KISS OF LIFE have the 'Midas Touch' in album preview video,Teaser,Jia-Lin,3/18/2024,2,"1,225",,,KISS OF LIFE,Midas Touch,,KISS OF LIFE,,KISS,KISS OF LIFE
14,THE NEW SIX (TNX) go hard in 2nd MV teaser for 'FUEGO',Teaser,Jia-Lin,3/18/2024,0,729,,,"THE NEW SIX, ##X",,,,,TNX,TNX
16,"""The whole group is the main visual,"" Red Velvet members stun in new photoshoot for Pandora jewelry",News,Dani-Dee,3/18/2024,17,"10,241",,,"Red Velvet, Pandora",,,Red Velvet,,,Red Velvet
17,Girls' Generation's YoonA is a glamorous visual in new photos from Tokyo trip,News,Dani-Dee,03/17/2024,13,"5,551",YoonA,Tokyo,Girls ' Generation,,,Girls' Generation,,,Girls' Generation
18,BTS V's 'FRI(END)S' becomes his highest-ranking solo single on Spotify's 'Daily Top Songs Global' chart,News,Dani-Dee,03/17/2024,18,"3,202",BTS V,,,"Spotify, Daily Top Songs Global",,,,BTS,BTS
19,"Taeyeon, BLACKPINK's Jennie, and LE SSERAFIM's Kazuha top March's individual K-Pop female idol brand value rankings",News,Dani-Dee,03/17/2024,18,"7,693","Taeyeon, Jennie, Kazuha",,"BLACKPINK, LE SSERAFIM, K - Pop",,,BLACKPINK,,,BLACKPINK
20,BLACKPINK JISOO's Self-Portrait campaign generated over $2.7 Million in Media Impact Value (MIV) in just two days,News,Blink-News,03/17/2024,7,"5,529",,,##ISOO,"Self - Portrait, Media Impact Value",,,,BLACKPINK,BLACKPINK
21,"""FRI(END)S"" by BTS's V (Kim Taehyung) debuts at #1 on YouTube’s Global Top Music Videos chart",News,YeontanNews,03/17/2024,21,"7,521",Kim Taehyung,,"BTS, YouTube",Global Top Music Videos,,BTS,,,BTS
22,Super Junior D&E decides to cancel music show appearances following backlash over 'GGB',News,Yaki-Jones,03/17/2024,82,"46,091",,,Super Junior D & E,,,SUPER JUNIOR-D&E,,,SUPER JUNIOR-D&E
23,"""FRI(END)S"" by BTS's V (Kim Taehyung) earns the biggest Spotify streaming debut by a male artist and K-pop act in 2024",News,YeontanNews,03/17/2024,18,"5,376",Kim Taehyung,,BTS,Spotify,,BTS,,,BTS
