,title,category,author_name,dates,num comments,num views,entity_model1,ent_word_model1,nouns_model2
0,Ryu Jun Yeol back in Korea; confirms dating Han So Hee after Hawaii trip,News,Alec06,3/18/2024,5,"3,197","PER, LOC, PER, LOC","Ryu Jun Yeol, Korea, Han So Hee, Hawaii","Ryu, Jun, Yeol, Han, Hee, trip"
1,Ryu Jun Yeol and Han So Hee's unwelcomed start and public scrutiny in Hawaii,News,Alec06,3/18/2024,14,"7,556","PER, PER, LOC","Ryu Jun Yeol, Han So Hee, Hawaii","Ryu, Jun, Yeol, Han, So, Hee, start, scrutiny"
2,DAY6's Dowoon talks post-military growth and new album 'Fourever',News,Alec06,3/18/2024,0,332,"ORG, ORG, MISC","DAY6, Dowoon, Fourever","talks, growth, album"
3,"Park Shin Hye reflects on 'Dr. Slump' finale, gears up for a new K-drama",News,Alec06,3/18/2024,1,"2,018","PER, MISC","Park Shin Hye, Dr. Slump","Park, Shin, Hye, Dr., Slump, finale, K, drama"
4,"Han Ye Seul to host 'SNL Korea' season 5, sparking high anticipation",News,Alec06,3/18/2024,2,"1,006","PER, ORG, MISC","Han Ye Seul, SN, ##L Korea","Han, Ye, Seul, SNL, Korea, season, anticipation"
5,The Boyz drops new album 'PHANTASY' Pt.3 and plans global live,News,Alec06,3/18/2024,0,571,"ORG, MISC","The Boyz, PHANTASY","Boyz, album, Pt.3"
6,"Nam Bo Ra expresses love for siblings, marks 18th career year",News,Alec06,3/18/2024,2,989,PER,Nam Bo Ra,"Nam, Bo, Ra, love, siblings, 18th, career, year"
7,Candy Shop unveils mini album 'Hashtag#' tracklist with dynamic New York vibes,News,Alec06,3/18/2024,1,684,"ORG, MISC, LOC","Candy Shop, Hashtag, New York","Candy, Shop, album, #, tracklist, New, York, vibes"
8,"BABYMONSTER ready for comeback, set for summer sonic stage",News,Alec06,3/18/2024,7,"2,415",ORG,BABYMONST,"BABYMONSTER, comeback, summer, stage"
9,Jun Ji Hyun and Son Heung Min grace Harper's Bazaar Korea cover,News,Alec06,3/18/2024,0,"2,783","PER, PER, MISC","Jun Ji Hyun, Son Heung Min, Harper ' s Bazaar Korea","Jun, Ji, Hyun, Son, Heung, Min, grace, Harper, Bazaar, Korea, cover"
