,title,category,author_name,dates,num comments,num views
0,Ryu Jun Yeol back in Korea; confirms dating Han So Hee after Hawaii trip,News,Alec06,3/18/2024,5,"3,197"
1,Ryu Jun Yeol and Han So Hee's unwelcomed start and public scrutiny in Hawaii,News,Alec06,3/18/2024,14,"7,556"
2,DAY6's Dowoon talks post-military growth and new album 'Fourever',News,Alec06,3/18/2024,0,332
3,"Park Shin Hye reflects on 'Dr. Slump' finale, gears up for a new K-drama",News,Alec06,3/18/2024,1,"2,018"
4,"Han Ye Seul to host 'SNL Korea' season 5, sparking high anticipation",News,Alec06,3/18/2024,2,"1,006"
5,The Boyz drops new album 'PHANTASY' Pt.3 and plans global live,News,Alec06,3/18/2024,0,571
6,"Nam Bo Ra expresses love for siblings, marks 18th career year",News,Alec06,3/18/2024,2,989
7,Candy Shop unveils mini album 'Hashtag#' tracklist with dynamic New York vibes,News,Alec06,3/18/2024,1,684
8,"BABYMONSTER ready for comeback, set for summer sonic stage",News,Alec06,3/18/2024,7,"2,415"
9,Jun Ji Hyun and Son Heung Min grace Harper's Bazaar Korea cover,News,Alec06,3/18/2024,0,"2,783"
10,ZEROBASEONE captivates Japan: sold-out concerts & chart success,News,Alec06,3/18/2024,4,"1,256"
11,Lucas prepares for solo debut with schedule poster for 1st single 'Renegade',News,Janie-Reign,3/18/2024,5,"2,110"
12,Netizens marvel at Jang Won Young looking like an AI at IVE's fan meeting,News,Janie-Reign,3/18/2024,10,"5,497"
13,BLACKPINK's Jennie says she splits the bill with friends instead of paying alone,News,Janie-Reign,3/18/2024,19,"18,043"
14,BTS's V (Kim Taehyung) is a stunner in the behind-the-scenes photos for the 'FRI(END)S' music video,News,YeontanNews,3/18/2024,16,"2,720"
15,SPOILER Fans speculate that Alan Walker and MAMAMOO's Wheein may be gearing up for a collab,Rumors,Luckymoomoo,3/18/2024,7,"1,544"
16,Han So Hee's comments on Ryu Jun Yeol's breakup timeline clash with last year's official announcements,News,Janie-Reign,3/18/2024,73,"26,584"
17,K-netizens react to Shohei Ohtani saying that Korea is one of his favorite countries,News,Janie-Reign,3/18/2024,15,"7,742"
18,Creative Group Ing says Girl's Day's Hyeri has no plans to respond to the Instagram story incident,News,Janie-Reign,3/18/2024,41,"18,492"
19,TOMORROW x TOGETHER follow the 'Light' in ethereal concept clip and images for 'minisode 3: TOMORROW',Teaser,Janie-Reign,3/18/2024,2,"1,196"
20,ILLIT can't fall asleep in this enchanting visual teaser for debut title song 'Magnetic',Teaser,Janie-Reign,3/18/2024,1,"1,246"
